OriginState,DestState,AvgFare
Iowa,New Jersey,294.5736403
Iowa,New Mexico,243.0924609
Iowa,New York,271.6884853
Iowa,North Carolina,254.8385252
Iowa,North Dakota,320.78714
Iowa,Ohio,262.7556727
Iowa,Oklahoma,270.1717405
Iowa,Oregon,299.5802565
Iowa,Pennsylvania,272.7760633
Iowa,Puerto Rico,316.3933554
Iowa,Rhode Island,311.5334021
Iowa,South Carolina,275.1944023
Iowa,South Dakota,335.211399
Iowa,Tennessee,256.306698
Iowa,Texas,267.8060137
Iowa,U.S. Pacific Trust Territories and Possessions,1259.9
Iowa,U.S. Virgin Islands,406.0565502
Iowa,Utah,270.6612839
Iowa,Vermont,288.0030159
Iowa,Virginia,237.2167158
Iowa,Washington,288.3209309
Iowa,West Virginia,288.6407059
Iowa,Wisconsin,280.5835112
Iowa,Wyoming,312.3313043
Kansas,Alabama,290.5293914
Kansas,Alaska,404.6361977
Kansas,Arizona,238.7902354
Kansas,Arkansas,236.6013889
Kansas,California,262.8145561
Kansas,Colorado,278.9296892
Kansas,Connecticut,278.4209091
Kansas,Florida,242.663091
Kansas,Georgia,267.9586309
Kansas,Hawaii,570.9340925
Kansas,Idaho,304.98428
Kansas,Illinois,198.9380866
Kansas,Indiana,252.5037178
Kansas,Iowa,286.5226573
Kansas,Kentucky,317.23262
Kansas,Louisiana,234.6066051
Kansas,Maine,314.0649296
Kansas,Maryland,226.4097506
Kansas,Massachusetts,260.6999611
Kansas,Michigan,270.5161667
Kansas,Minnesota,309.1211976
Kansas,Mississippi,265.1160377
Kansas,Missouri,212.2061509
Kansas,Montana,327.8215987
Kansas,Nebraska,303.875
Kansas,Nevada,196.4418786
Kansas,New Hampshire,297.3903478
Kansas,New Jersey,301.3036072
Kansas,New Mexico,253.6936398
Kansas,New York,280.2388947
Kansas,North Carolina,262.288465
Kansas,North Dakota,347.5993528
Kansas,Ohio,267.0254301
Kansas,Oklahoma,332.5876923
Kansas,Oregon,284.305144
Kansas,Pennsylvania,270.9404545
